"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]"
38850,247.83,324.863,0.00456651
38900,247.97,322.632,0.0045326
38950,248.11,320.418,0.00449895
39000,248.25,318.22,0.00446557
39050,248.39,316.039,0.00443246
39100,248.53,313.874,0.00439961
39150,248.67,311.724,0.00436702
39200,248.81,309.591,0.0043347
39250,248.95,307.473,0.00430263
39300,249.09,305.372,0.00427081
39350,249.23,303.285,0.00423925
39400,249.37,301.214,0.00420794
39450,249.51,299.159,0.00417688
39500,249.65,297.118,0.00414606
39550,249.79,295.093,0.00411549
39600,249.93,293.082,0.00408516
39650,250.07,291.086,0.00405507
39700,250.21,289.105,0.00402522
39750,250.35,287.139,0.00399561
39800,250.49,285.187,0.00396623
39850,250.63,283.249,0.00393708
39900,250.77,281.326,0.00390816
39950,250.91,279.417,0.00387947
40000,251.05,277.522,0.00385101
40050,251.19,275.64,0.00382277
40100,251.33,273.773,0.00379476
40150,251.47,271.919,0.00376696
40200,251.61,270.079,0.00373939
40250,251.75,268.252,0.00371203
40300,251.89,266.438,0.00368488
40350,252.03,264.638,0.00365795
40400,252.17,262.851,0.00363123
40450,252.31,261.077,0.00360473
40500,252.45,259.316,0.00357842
40550,252.59,257.568,0.00355233
40600,252.73,255.832,0.00352644
40650,252.87,254.109,0.00350075
40700,253.01,252.399,0.00347527
40750,253.15,250.701,0.00344998
40800,253.29,249.016,0.00342489
40850,253.43,247.343,0.0034
40900,253.57,245.682,0.0033753
40950,253.71,244.033,0.0033508
41000,253.85,242.395,0.00332648
41050,253.99,240.77,0.00330236
41100,254.13,239.157,0.00327842
41150,254.27,237.555,0.00325468
41200,254.41,235.965,0.00323111
41250,254.55,234.387,0.00320773
41300,254.69,232.819,0.00318453
41350,254.83,231.264,0.00316151
41400,254.97,229.719,0.00313867
41450,255.11,228.186,0.00311601
41500,255.25,226.663,0.00309352
41550,255.39,225.152,0.00307121
41600,255.53,223.651,0.00304907
41650,255.67,222.162,0.00302711
41700,255.81,220.683,0.00300531
41750,255.95,219.214,0.00298368
41800,256.09,217.757,0.00296222
41850,256.23,216.31,0.00294092
41900,256.37,214.873,0.00291979
41950,256.51,213.446,0.00289883
42000,256.65,212.03,0.00287802
42050,256.79,210.624,0.00285738
42100,256.93,209.228,0.00283689
42150,257.07,207.842,0.00281656
42200,257.21,206.466,0.00279639
42250,257.35,205.099,0.00277638
42300,257.49,203.743,0.00275651
42350,257.63,202.396,0.0027368
42400,257.77,201.059,0.00271725
42450,257.91,199.731,0.00269784
42500,258.05,198.413,0.00267858
42550,258.19,197.105,0.00265947
42600,258.33,195.805,0.00264051
42650,258.47,194.515,0.00262169
42700,258.61,193.234,0.00260302
42750,258.75,191.962,0.00258448
42800,258.89,190.7,0.00256609
42850,259.03,189.446,0.00254785
42900,259.17,188.201,0.00252974
42950,259.31,186.965,0.00251177
43000,259.45,185.738,0.00249393
43050,259.59,184.519,0.00247624
43100,259.73,183.309,0.00245867
43150,259.87,182.108,0.00244124
43200,260.01,180.915,0.00242395
43250,260.15,179.731,0.00240679
43300,260.29,178.555,0.00238975
43350,260.43,177.387,0.00237285
43400,260.57,176.228,0.00235607
43450,260.71,175.077,0.00233943
43500,260.85,173.934,0.00232291
43550,260.99,172.799,0.00230651
43600,261.13,171.672,0.00229024
43650,261.27,170.553,0.00227409
43700,261.41,169.442,0.00225807
43750,261.55,168.339,0.00224216
43800,261.69,167.243,0.00222638
43850,261.83,166.155,0.00221071
43900,261.97,165.075,0.00219517
43950,262.11,164.002,0.00217974
44000,262.25,162.937,0.00216443
44050,262.39,161.88,0.00214923
44100,262.53,160.83,0.00213415
44150,262.67,159.787,0.00211919
